AD_ID,CPM,VIEWS,CLICKS,ACTIONS,CHANNEL_NAME,DATE
10430,7.15,732,56,8,entertainment_channel_15,2024-12-24
10431,66.12,32,3,0,tech_channel_32,2024-10-16
10432,3.94,617,47,6,education_channel_8,2024-11-24
10433,1.19,340,27,4,tech_channel_36,2024-12-09
10434,77.63,144,8,0,travel_channel_16,2024-12-26
10435,28.43,309,24,5,sports_channel_15,2024-10-13
10436,8.22,387,42,4,travel_channel_40,2024-12-05
10437,3.05,192,4,0,business_channel_27,2024-10-28
10438,6.98,397,37,3,education_channel_8,2024-11-19
10439,9.81,348,29,7,sports_channel_15,2024-11-10
10440,72.74,29,0,0,lifestyle_channel_35,2024-10-03
10441,6.02,151,1,0,education_channel_45,2024-10-11
10442,5.24,298,20,1,travel_channel_30,2024-10-20
10443,51.43,201,5,0,lifestyle_channel_30,2024-12-15
10444,4.86,137,12,0,business_channel_18,2024-10-23
10445,8.99,545,63,3,education_channel_6,2024-11-12
10446,4.64,1009,27,2,entertainment_channel_21,2024-12-01
10447,9.7,542,70,16,entertainment_channel_23,2024-10-21
10448,5.05,763,80,7,business_channel_35,2024-10-04
10449,86.8,75,9,4,news_channel_21,2024-12-17
10450,4.46,422,55,2,lifestyle_channel_5,2024-10-17
10451,3.02,832,77,8,education_channel_45,2024-11-09
10452,5.12,499,66,1,lifestyle_channel_5,2024-12-19
10453,1.46,317,30,1,sports_channel_6,2024-12-05
10454,47.0,125,16,1,travel_channel_40,2024-10-06
10455,8.57,96,4,0,entertainment_channel_15,2024-11-21
10456,6.58,402,16,2,entertainment_channel_15,2024-10-29
10457,95.92,90,3,0,travel_channel_20,2024-10-03
10458,4.24,725,67,1,travel_channel_34,2024-12-27
10459,3.65,663,68,0,business_channel_22,2024-10-03
10460,3.47,617,83,11,news_channel_14,2024-11-01
10461,3.91,378,31,4,travel_channel_30,2024-11-21
10462,6.8,687,21,2,tech_channel_2,2024-11-28
10463,2.2,1395,55,0,news_channel_4,2024-12-12
10464,84.54,73,3,0,tech_channel_2,2024-12-19
10465,7.62,265,24,2,lifestyle_channel_30,2024-10-24
10466,9.77,491,42,4,news_channel_14,2024-10-22
10467,7.31,314,19,0,sports_channel_15,2024-12-10
10468,9.75,256,54,2,tech_channel_21,2024-10-31
10469,6.38,836,58,8,tech_channel_32,2024-12-30
10470,8.55,639,13,2,education_channel_49,2024-11-03
10471,1.82,1591,276,26,travel_channel_34,2024-12-04
10472,1.44,1613,62,0,business_channel_28,2024-11-28
10473,7.08,204,33,10,business_channel_35,2024-11-19
10474,1.95,1612,244,1,travel_channel_40,2024-10-17
10475,3.83,917,87,3,news_channel_14,2024-12-17
10476,29.05,71,9,0,entertainment_channel_21,2024-11-28
10477,3.79,571,27,2,entertainment_channel_23,2024-12-27
10478,33.91,194,22,1,travel_channel_30,2024-11-01
10479,3.73,188,14,0,lifestyle_channel_5,2024-11-01
10480,1.88,677,29,2,travel_channel_8,2024-12-07
10481,5.1,888,132,30,entertainment_channel_21,2024-10-18
10482,8.19,150,8,0,business_channel_11,2024-10-23
10483,25.73,300,12,1,business_channel_49,2024-10-18
10484,7.47,87,2,0,business_channel_5,2024-12-12
10485,9.19,245,13,1,travel_channel_20,2024-10-09
10486,96.79,27,1,0,news_channel_14,2024-11-05
10487,66.67,65,4,0,sports_channel_31,2024-12-10
10488,7.38,488,70,4,lifestyle_channel_18,2024-11-08
10489,8.34,445,59,7,education_channel_6,2024-11-02
10490,8.86,216,13,5,business_channel_22,2024-10-26
10491,46.61,137,2,0,tech_channel_36,2024-11-25
10492,8.32,379,63,1,sports_channel_5,2024-10-04
